id,type,text
incident_0000,volume_spike,Call volume spiked 18% above forecast on 2025-12-09 following a product outage. Wait times increased to 15 minutes. Root cause identified as a product outage. Resolution: Root cause was patched and monitoring alert threshold was lowered..
incident_0001,system_outage,Contact center experienced a 79-minute outage of the authentication service system on 2025-09-20. Approximately 275 tickets were delayed. Resolution: Root cause was patched and monitoring alert threshold was lowered..
incident_0002,staffing_gap,"Staffing fell short by 11 agents during the morning shift on 2025-05-05, driven by a product outage. Average handle time increased by 58%. Resolution: Customers were proactively notified via SMS to reduce inbound volume.."
incident_0003,staffing_gap,"Staffing fell short by 4 agents during the afternoon shift on 2025-02-13, driven by a billing statement release. Average handle time increased by 83%. Resolution: Customers were proactively notified via SMS to reduce inbound volume.."
incident_0004,escalation_cluster,"A cluster of 57 escalations related to app login issues occurred on 2025-04-28, concentrated among long-tenured customers. Resolution: Customers were proactively notified via SMS to reduce inbound volume.."
incident_0005,system_outage,Contact center experienced a 44-minute outage of the callback queue system on 2025-12-08. Approximately 274 tickets were delayed. Resolution: Escalation path was streamlined to reduce handle time..
incident_0006,escalation_cluster,"A cluster of 92 escalations related to loan application delays occurred on 2025-05-03, concentrated among long-tenured customers. Resolution: Customers were proactively notified via SMS to reduce inbound volume.."
incident_0007,system_outage,Contact center experienced a 61-minute outage of the payment gateway system on 2025-05-24. Approximately 274 tickets were delayed. Resolution: Staffing schedule was adjusted for the following week..
incident_0008,volume_spike,Call volume spiked 34% above forecast on 2025-11-06 following seasonal demand. Wait times increased to 21 minutes. Root cause identified as seasonal demand. Resolution: Staffing schedule was adjusted for the following week..
incident_0009,volume_spike,Call volume spiked 83% above forecast on 2025-05-25 following seasonal demand. Wait times increased to 18 minutes. Root cause identified as seasonal demand. Resolution: Additional agents were reassigned from overflow queue..
incident_0010,volume_spike,Call volume spiked 53% above forecast on 2025-11-17 following a payment processing delay. Wait times increased to 14 minutes. Root cause identified as a payment processing delay. Resolution: Root cause was patched and monitoring alert threshold was lowered..
incident_0011,volume_spike,Call volume spiked 29% above forecast on 2025-06-27 following a marketing promotion. Wait times increased to 15 minutes. Root cause identified as a marketing promotion. Resolution: Additional agents were reassigned from overflow queue..
incident_0012,system_outage,Contact center experienced a 64-minute outage of the CRM system on 2025-09-06. Approximately 602 tickets were delayed. Resolution: Staffing schedule was adjusted for the following week..
incident_0013,staffing_gap,"Staffing fell short by 3 agents during the morning shift on 2025-08-04, driven by a product outage. Average handle time increased by 81%. Resolution: Additional agents were reassigned from overflow queue.."
incident_0014,volume_spike,Call volume spiked 44% above forecast on 2025-02-02 following a marketing promotion. Wait times increased to 10 minutes. Root cause identified as a marketing promotion. Resolution: Staffing schedule was adjusted for the following week..
incident_0015,staffing_gap,"Staffing fell short by 4 agents during the weekend shift on 2025-04-04, driven by a billing statement release. Average handle time increased by 67%. Resolution: Escalation path was streamlined to reduce handle time.."
incident_0016,escalation_cluster,"A cluster of 45 escalations related to loan application delays occurred on 2025-04-07, concentrated among long-tenured customers. Resolution: Escalation path was streamlined to reduce handle time.."
incident_0017,volume_spike,Call volume spiked 21% above forecast on 2025-11-18 following a billing statement release. Wait times increased to 10 minutes. Root cause identified as a billing statement release. Resolution: Root cause was patched and monitoring alert threshold was lowered..
incident_0018,staffing_gap,"Staffing fell short by 4 agents during the morning shift on 2025-07-09, driven by a policy change announcement. Average handle time increased by 15%. Resolution: Escalation path was streamlined to reduce handle time.."
incident_0019,escalation_cluster,"A cluster of 20 escalations related to fraud alerts occurred on 2025-01-19, concentrated among new customers. Resolution: Staffing schedule was adjusted for the following week.."
incident_0020,staffing_gap,"Staffing fell short by 11 agents during the afternoon shift on 2025-10-08, driven by a payment processing delay. Average handle time increased by 30%. Resolution: Additional agents were reassigned from overflow queue.."
incident_0021,escalation_cluster,"A cluster of 11 escalations related to loan application delays occurred on 2025-05-13, concentrated among new customers. Resolution: Customers were proactively notified via SMS to reduce inbound volume.."
incident_0022,escalation_cluster,"A cluster of 100 escalations related to app login issues occurred on 2025-06-03, concentrated among new customers. Resolution: Customers were proactively notified via SMS to reduce inbound volume.."
incident_0023,volume_spike,Call volume spiked 32% above forecast on 2025-05-04 following a billing statement release. Wait times increased to 31 minutes. Root cause identified as a billing statement release. Resolution: Staffing schedule was adjusted for the following week..
incident_0024,staffing_gap,"Staffing fell short by 8 agents during the weekend shift on 2025-01-03, driven by seasonal demand. Average handle time increased by 47%. Resolution: Customers were proactively notified via SMS to reduce inbound volume.."
incident_0025,staffing_gap,"Staffing fell short by 7 agents during the morning shift on 2025-02-03, driven by seasonal demand. Average handle time increased by 16%. Resolution: Staffing schedule was adjusted for the following week.."
incident_0026,escalation_cluster,"A cluster of 62 escalations related to card replacement requests occurred on 2025-01-12, concentrated among long-tenured customers. Resolution: Root cause was patched and monitoring alert threshold was lowered.."
incident_0027,system_outage,Contact center experienced a 41-minute outage of the payment gateway system on 2025-01-06. Approximately 213 tickets were delayed. Resolution: Escalation path was streamlined to reduce handle time..
incident_0028,system_outage,Contact center experienced a 38-minute outage of the IVR system on 2025-08-12. Approximately 725 tickets were delayed. Resolution: Root cause was patched and monitoring alert threshold was lowered..
incident_0029,escalation_cluster,"A cluster of 43 escalations related to fraud alerts occurred on 2025-11-17, concentrated among mobile-app customers. Resolution: Staffing schedule was adjusted for the following week.."
incident_0030,staffing_gap,"Staffing fell short by 4 agents during the weekend shift on 2025-12-26, driven by a marketing promotion. Average handle time increased by 59%. Resolution: Staffing schedule was adjusted for the following week.."
incident_0031,volume_spike,Call volume spiked 81% above forecast on 2025-09-22 following seasonal demand. Wait times increased to 31 minutes. Root cause identified as seasonal demand. Resolution: Root cause was patched and monitoring alert threshold was lowered..
incident_0032,escalation_cluster,"A cluster of 95 escalations related to loan application delays occurred on 2025-06-13, concentrated among long-tenured customers. Resolution: Staffing schedule was adjusted for the following week.."
